Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
40,Thursday May 21,boxscore,SEA,@,BAL,L,4,5,,18-22,3,8.0,Hunter,Farquhar,Britton,3:30,D,33085,0.72,-,
41,Friday May 22,boxscore,SEA,@,TOR,W,4,3,,19-22,3,7.0,Hernández,Estrada,Rodney,2:30,N,21195,0.7,+,
42,Saturday May 23,boxscore,SEA,@,TOR,W,3,2,,20-22,3,7.0,Paxton,Buehrle,Rodney,2:25,D,33086,0.74,++,
43,Sunday May 24,boxscore,SEA,@,TOR,L,2,8,,20-23,4,8.0,Sanchez,Walker,,2:50,D,37929,0.82,-,
44,Monday May 25,boxscore,SEA,@,TBR,W,4,1,,21-23,4,7.0,Elías,Odorizzi,Rodney,2:51,N,10401,0.77,+,
45,Tuesday May 26,boxscore,SEA,@,TBR,W,7,6,10.0,22-23,4,7.0,Rodney,Boxberger,Beimel,3:52,N,9628,0.81,++,
46,Wednesday May 27,boxscore,SEA,@,TBR,W,3,0,,23-23,2,6.0,Hernández,Boxberger,,2:13,D,10365,0.9,+++,
47,Thursday May 28,boxscore,SEA,,CLE,L,3,5,,23-24,3,6.5,Kluber,Paxton,Allen,2:50,N,19449,0.98,-,
48,Friday May 29,boxscore,SEA,,CLE,W,2,1,,24-24,3,5.5,Walker,Bauer,Rodney,2:24,N,32454,0.94,+,
49,Saturday May 30,boxscore,SEA,,CLE,L,3,4,,24-25,4,6.5,Marcum,Elías,Allen,3:04,N,32287,1.01,-,
50,Sunday May 31,boxscore,SEA,,CLE,L &V,3,6,12.0,24-26,4,6.5,McAllister,Leone,Adams,4:36,D,32112,0.84,--,
51,Monday Jun 1,boxscore,SEA,,NYY,L,2,7,,24-27,4,7.5,Pineda,Hernández,,2:55,N,26082,0.76,---,
52,Tuesday Jun 2,boxscore,SEA,,NYY,L,3,5,11.0,24-28,4,8.5,Wilson,Wilhelmsen,Miller,3:55,N,27442,0.7,----,
53,Wednesday Jun 3,boxscore,SEA,,NYY,L,1,3,,24-29,4,9.5,Tanaka,Walker,Miller,2:21,D,32701,0.63,-----,
54,Thursday Jun 4,boxscore,SEA,,TBR,L,1,2,,24-30,4,9.5,Ramírez,Elías,Jepsen,2:42,N,16096,0.59,------,
55,Friday Jun 5,boxscore,SEA,,TBR,L,0,1,,24-31,4,9.5,Bellatti,Rodney,Jepsen,2:55,N,20695,0.54,-------,
56,Saturday Jun 6,boxscore,SEA,,TBR,W,2,1,,25-31,4,8.5,Hernández,Geltz,Smith,2:45,N,31106,0.5,+,
57,Sunday Jun 7,boxscore,SEA,,TBR,L,1,3,,25-32,4,8.5,Archer,Montgomery,Jepsen,2:46,D,27906,0.56,-,
58,Tuesday Jun 9,boxscore,SEA,@,CLE,W,3,2,,26-32,4,7.0,Elías,Kluber,Smith,3:03,N,11425,0.55,+,
59,Wednesday Jun 10,boxscore,SEA,@,CLE,W,9,3,,27-32,4,6.0,Walker,Bauer,,3:04,N,12305,0.55,++,
